PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,DOI,FCD sample size >200 ,Notes on Location information,Include
26130264,Surgery for epilepsy,"West S, Nolan SJ, Cotton J, Gandhi S, Weston J, Sudan A, Ramirez R, Newton R.",Cochrane Database Syst Rev. 2015 Jul 1;(7):CD010541. doi: 10.1002/14651858.CD010541.pub2.,West S,Cochrane Database Syst Rev,2015,10.1002/14651858.CD010541.pub2,y,Meta-analysis. Does not examine effect of location of resection on outcome in FCD specifically.,n
23055516,Trends in presurgical evaluation and surgical treatment of epilepsy at one centre from 1988-2009,"Bien CG, Raabe AL, Schramm J, Becker A, Urbach H, Elger CE.",J Neurol Neurosurg Psychiatry. 2013 Jan;84(1):54-61. doi: 10.1136/jnnp-2011-301763. Epub 2012 Oct 10.,Bien CG,J Neurol Neurosurg Psychiatry,2013,10.1136/jnnp-2011-301763,y,Does not examine effect of FCD location on outcome,n
31237346,Surgery for epilepsy,"West S, Nevitt SJ, Cotton J, Gandhi S, Weston J, Sudan A, Ramirez R, Newton R.",Cochrane Database Syst Rev. 2019 Jun 25;6(6):CD010541. doi: 10.1002/14651858.CD010541.pub3.,West S,Cochrane Database Syst Rev,2019,10.1002/14651858.CD010541.pub3,y,Meta-analysis. Does not examine effect of location of resection on outcome in FCD specifically.,n
29359399,Review: The international consensus classification of Focal Cortical Dysplasia - a critical update 2018,"Najm IM, Sarnat HB, BlÙmcke I.",Neuropathol Appl Neurobiol. 2018 Feb;44(1):18-31. doi: 10.1111/nan.12462.,Najm IM,Neuropathol Appl Neurobiol,2018,10.1111/nan.12462,n,,
29782369,Neuroimaging in epilepsy,"Sidhu MK, Duncan JS, Sander JW.",Curr Opin Neurol. 2018 Aug;31(4):371-378. doi: 10.1097/WCO.0000000000000568.,Sidhu MK,Curr Opin Neurol,2018,10.1097/WCO.0000000000000568,n,,
30442696,"MRI, Magnetoencephalography, and Surgical Outcome of Oligodendrocytosis versus Focal Cortical Dysplasia Type I","Mata-Mbemba D, Iimura Y, Hazrati LN, Ochi A, Otsubo H, Snead OC 3rd, Rutka J, Widjaja E.",AJNR Am J Neuroradiol. 2018 Dec;39(12):2371-2377. doi: 10.3174/ajnr.A5877. Epub 2018 Nov 15.,Mata-Mbemba D,AJNR Am J Neuroradiol,2018,10.3174/ajnr.A5877,n,,
30819503,Malformations of cortical development: New surgical advances,"Bourdillon P, Rheims S, Catenoix H, Montavont A, Ostrowsky-Coste K, Isnard J, Gu_not M.",Rev Neurol (Paris). 2019 Mar;175(3):183-188. doi: 10.1016/j.neurol.2019.01.392. Epub 2019 Feb 26.,Bourdillon P,Rev Neurol (Paris),2019,10.1016/j.neurol.2019.01.392,n,,
29594410,(18)F-FDG PET in drug-resistant epilepsy due to focal cortical dysplasia type 2: additional value of electroclinical data and coregistration with MRI,"Desarnaud S, Mellerio C, Semah F, Laurent A, Landre E, Devaux B, Chiron C, Lebon V, Chassoux F.",Eur J Nucl Med Mol Imaging. 2018 Jul;45(8):1449-1460. doi: 10.1007/s00259-018-3994-3. Epub 2018 Mar 29.,Desarnaud S,Eur J Nucl Med Mol Imaging,2018,10.1007/s00259-018-3994-3,n,,
24744193,"Clinical characteristics, pathological features and surgical outcomes of focal cortical dysplasia (FCD) type II: correlation with pathological subtypes","Yao K, Mei X, Liu X, Duan Z, Liu C, Bian Y, Ma Z, Qi X.",Neurol Sci. 2014 Oct;35(10):1519-26. doi: 10.1007/s10072-014-1782-9. Epub 2014 Apr 18.,Yao K,Neurol Sci,2014,10.1007/s10072-014-1782-9,n,,
30868127,Long-term seizure outcome after epilepsy surgery in patients with mild malformation of cortical development and focal cortical dysplasia,"Veersema TJ, Swampillai B, Ferrier CH, van Eijsden P, Gosselaar PH, van Rijen PC, Spliet WGM, MÙhlebner A, Aronica E, Braun KPJ.",Epilepsia Open. 2018 Dec 13;4(1):170-175. doi: 10.1002/epi4.12289. eCollection 2019 Mar.,Veersema TJ,Epilepsia Open,2018,10.1002/epi4.12289,n,,
30296740,Long-term seizure outcome in pediatric patients with focal cortical dysplasia undergoing tailored and standard surgical resections,"Martinez-Lizana E, Fauser S, Brandt A, Schuler E, Wiegand G, Doostkam S, San Antonio-Arce V, Jacobs J, Bast T, Shah M, Zentner J, Schulze-Bonhage A.",Seizure. 2018 Nov;62:66-73. doi: 10.1016/j.seizure.2018.09.021. Epub 2018 Sep 26.,Martinez-Lizana E,Seizure,2018,10.1016/j.seizure.2018.09.021,n,,
28753112,Impact of focal cortical dysplasia Type IIIa on seizure outcome following anterior mesial temporal lobe resection for the treatment of epilepsy,"DÙhrsen L, Sauvigny T, House PM, Stodieck S, Holst B, Matschke J, Sch_n G, Westphal M, Martens T.",J Neurosurg. 2018 Jun;128(6):1668-1673. doi: 10.3171/2017.2.JNS161295. Epub 2017 Jul 28.,DÙhrsen L,J Neurosurg,2018,10.3171/2017.2.JNS161295,n,,
28850830,Comparison of clinical features and surgical outcome in focal cortical dysplasia type 1 and type 2,"Isler C, Kucukyuruk B, Ozkara C, Gunduz A, Is M, Tanriverdi T, Comunoglu N, Oz B, Uzan M.",Epilepsy Res. 2017 Oct;136:130-136. doi: 10.1016/j.eplepsyres.2017.08.008. Epub 2017 Aug 24.,Isler C,Epilepsy Res,2017,10.1016/j.eplepsyres.2017.08.008,n,,
26886359,Predicting epilepsy surgery outcome,"Ryvlin P, Rheims S.",Curr Opin Neurol. 2016 Apr;29(2):182-8. doi: 10.1097/WCO.0000000000000306.,Ryvlin P,Curr Opin Neurol,2016,10.1097/WCO.0000000000000306,n,,
27811355,Clinical and immunohistochemical characteristics of type II and type I focal cortical dysplasia,"Yao K, Duan Z, Zhou J, Li L, Zhai F, Dong Y, Wang X, Ma Z, Bian Y, Qi X, Li L.",Oncotarget. 2016 Nov 22;7(47):76415-76422. doi: 10.18632/oncotarget.13001.,Yao K,Oncotarget,2016,10.18632/oncotarget.13001,n,,
12135964,"Focal cortical dysplasia: neuropathological subtypes, EEG, neuroimaging and surgical outcome","Tassi L, Colombo N, Garbelli R, Francione S, Lo Russo G, Mai R, Cardinale F, Cossu M, Ferrario A, Galli C, Bramerio M, Citterio A, Spreafico R.",Brain. 2002 Aug;125(Pt 8):1719-32. doi: 10.1093/brain/awf175.,Tassi L,Brain,2002,10.1093/brain/awf175,n,,
22221288,Type II focal cortical dysplasia: electroclinical phenotype and surgical outcome related to imaging,"Chassoux F, Landr_ E, Mellerio C, Turak B, Mann MW, Daumas-Duport C, Chiron C, Devaux B.",Epilepsia. 2012 Feb;53(2):349-58. doi: 10.1111/j.1528-1167.2011.03363.x. Epub 2012 Jan 5.,Chassoux F,Epilepsia,2012,10.1111/j.1528-1167.2011.03363.x,n,,
28673029,Predictive Factors of Surgical Outcome in Frontal Lobe Epilepsy Explored with Stereoelectroencephalography,"Bonini F, McGonigal A, Scavarda D, Carron R, R_gis J, Dufour H, P_ragut JC, Laguitton V, Villeneuve N, Chauvel P, Giusiano B, Tr_buchon A, Bartolomei F.",Neurosurgery. 2018 Aug 1;83(2):217-225. doi: 10.1093/neuros/nyx342.,Bonini F,Neurosurgery,2018,10.1093/neuros/nyx342,n,,
27500381,Long-term outcome characteristics in mesial temporal lobe epilepsy with and without associated cortical dysplasia,"Schmeiser B, Hammen T, Steinhoff BJ, Zentner J, Schulze-Bonhage A.",Epilepsy Res. 2016 Oct;126:147-56. doi: 10.1016/j.eplepsyres.2016.07.011. Epub 2016 Aug 1.,Schmeiser B,Epilepsy Res,2016,10.1016/j.eplepsyres.2016.07.011,n,,
30866067,Clinical features of sleep-related hypermotor epilepsy in relation to the seizure-onset zone: A review of 135 surgically treated cases,"Gibbs SA, Proserpio P, Francione S, Mai R, Cardinale F, Sartori I, Castana L, Plazzi G, Tinuper P, Cossu M, Russo GL, Tassi L, Nobili L.",Epilepsia. 2019 Apr;60(4):707-717. doi: 10.1111/epi.14690. Epub 2019 Mar 13.,Gibbs SA,Epilepsia,2019,10.1111/epi.14690,n,,
30522059,Long-term seizure outcome in frontal lobe epilepsy surgery,"Morace R, Casciato S, Quarato PP, Mascia A, D'Aniello A, Grammaldo LG, De Risi M, Di Gennaro G, Esposito V.",Epilepsy Behav. 2019 Jan;90:93-98. doi: 10.1016/j.yebeh.2018.10.033. Epub 2018 Dec 3.,Morace R,Epilepsy Behav,2019,10.1016/j.yebeh.2018.10.033,n,,
30090756,Surgical Treatment of Lesional Mesial Temporal Lobe Epilepsy,"Chong S, Phi JH, Lee JY, Kim SK.",J Epilepsy Res. 2018 Jun 30;8(1):6-11. doi: 10.14581/jer.18002. eCollection 2018 Jun.,Chong S,J Epilepsy Res,2018,10.14581/jer.18002,n,,
27406939,Seizure-onset patterns in focal cortical dysplasia and neurodevelopmental tumors: Relationship with surgical prognosis and neuropathologic subtypes,"Lagarde S, Bonini F, McGonigal A, Chauvel P, Gavaret M, Scavarda D, Carron R, R_gis J, Aubert S, Villeneuve N, Giusiano B, Figarella-Branger D, Trebuchon A, Bartolomei F.",Epilepsia. 2016 Sep;57(9):1426-35. doi: 10.1111/epi.13464. Epub 2016 Jul 13.,Lagarde S,Epilepsia,2016,10.1111/epi.13464,n,,
21118400,Focal cortical dysplasia coexisting with diffuse astrocytoma in childhood: a case report and reappraisal of the glial component in archival FCD cases,"Masui K, Suzuki SO, Hashiguchi K, Morioka T, Yoshiura T, Sasaki T, Iwaki T.",Neuropathology. 2011 Aug;31(4):433-9. doi: 10.1111/j.1440-1789.2010.01173.x. Epub 2010 Dec 1.,Masui K,Neuropathology,2011,10.1111/j.1440-1789.2010.01173.x,n,,
26314661,Clinical characteristics and post-surgical outcomes of focal cortical dysplasia subtypes,"Xue H, Cai L, Dong S, Li Y.",J Clin Neurosci. 2016 Jan;23:68-72. doi: 10.1016/j.jocn.2015.04.022. Epub 2015 Aug 24.,Xue H,J Clin Neurosci,2016,10.1016/j.jocn.2015.04.022,n,,
29535451,Effect of combined naltrexone and bupropion therapy on the brain's functional connectivity,"Wang GJ, Zhao J, Tomasi D, Kojori ES, Wang R, Wiers CE, Caparelli EC, Volkow ND.",Int J Obes (Lond). 2018 Nov;42(11):1890-1899. doi: 10.1038/s41366-018-0040-2. Epub 2018 Feb 23.,Wang GJ,Int J Obes (Lond),2018,10.1038/s41366-018-0040-2,n,,
12531945,Outcome of epilepsy surgery in focal cortical dysplasia,"Kral T, Clusmann H, BlÙmcke I, Fimmers R, Ostertun B, Kurthen M, Schramm J.",J Neurol Neurosurg Psychiatry. 2003 Feb;74(2):183-8. doi: 10.1136/jnnp.74.2.183.,Kral T,J Neurol Neurosurg Psychiatry,2003,10.1136/jnnp.74.2.183,n,,
31860139,Epileptogenicity in tuberous sclerosis complex: A stereoelectroencephalographic study,"Neal A, Ostrowsky-Coste K, Jung J, Lagarde S, Maillard L, Kahane P, Touraine R, Catenoix H, Montavont A, Isnard J, Arzimanoglou A, Bartolomei F, Guenot M, Rheims S.",Epilepsia. 2020 Jan;61(1):81-95. doi: 10.1111/epi.16410. Epub 2019 Dec 20.,Neal A,Epilepsia,2020,10.1111/epi.16410,n,,
21275980,Neuroimaging in identifying focal cortical dysplasia and prognostic factors in pediatric and adolescent epilepsy surgery,"Kim YH, Kang HC, Kim DS, Kim SH, Shim KW, Kim HD, Lee JS.",Epilepsia. 2011 Apr;52(4):722-7. doi: 10.1111/j.1528-1167.2010.02950.x. Epub 2011 Jan 28.,Kim YH,Epilepsia,2011,10.1111/j.1528-1167.2010.02950.x,n,,
19679496,Microscopic mild focal cortical dysplasia in temporal lobe dual pathology: an electrocorticography study,"Morales ChacÑn L, Estupi_àn B, Lorigados Pedre L, Tràpaga Quincoses O, GarcÕa Maeso I, Sanchez A, Bender del Busto J, Garcia ME, Baez Martin M, Zaldivar M, GÑmez A, Orozco S, Rocha Arrieta L.",Seizure. 2009 Oct;18(8):593-600. doi: 10.1016/j.seizure.2009.06.008. Epub 2009 Aug 12.,Morales ChacÑn L,Seizure,2009,10.1016/j.seizure.2009.06.008,n,,
25440067,Corpora amylacea in the neocortex in patients with temporal lobe epilepsy and focal cortical dysplasia,"Estupi_àn-DÕaz BO, Morales-ChacÑn LM, GarcÕa-Maeso I, Lorigados-Pedre L, Bàez-MartÕn M, GarcÕa-Navarro ME, Tràpaga-Quincoses O, Quintanal-Cordero N, Prince-LÑpez J, Bender-del Busto JE; Grupo Interdisciplinario de CirugÕa de Epilepsia, Centro Internacional de RestauraciÑn NeurolÑgica.",Neurologia. 2015 Mar;30(2):90-6. doi: 10.1016/j.nrl.2013.06.008. Epub 2014 Oct 31.,Estupi_àn-DÕaz BO,Neurologia,2015,10.1016/j.nrl.2013.06.008,n,,
11902320,Surgical strategy and outcomes for epileptic patients with focal cortical dysplasia or dysembryoplastic neuroepithelial tumor,"Kameyama S, Fukuda M, Tomikawa M, Morota N, Oishi M, Wachi M, Kanazawa O, Sasagawa M, Kakita A, Takahashi H.",Epilepsia. 2001;42 Suppl 6:37-41.,Kameyama S,Epilepsia,2001,PMID:æ11902320,n,,
15319274,Focal cortical dysplasias: surgical outcome in 67 patients in relation to histological subtypes and dual pathology,"Fauser S, Schulze-Bonhage A, Honegger J, Carmona H, Huppertz HJ, Pantazis G, Rona S, Bast T, Strobl K, Steinhoff BJ, Korinthenberg R, Rating D, Volk B, Zentner J.",Brain. 2004 Nov;127(Pt 11):2406-18. doi: 10.1093/brain/awh277. Epub 2004 Aug 19.,Fauser S,Brain,2004,10.1093/brain/awh277,n,,
27176882,Isolated amygdala enlargement in temporal lobe epilepsy: A systematic review,"Beh SMJ, Cook MJ, D'Souza WJ.",Epilepsy Behav. 2016 Jul;60:33-41. doi: 10.1016/j.yebeh.2016.04.015. Epub 2016 May 10.,Beh SMJ,Epilepsy Behav,2016,10.1016/j.yebeh.2016.04.015,n,,
28565831,Clinical characteristics and epilepsy outcomes following surgery caused by focal cortical dysplasia (type IIa) in 110 adult epileptic patients,"Sun Y, Wang X, Che N, Qin H, Liu S, Wu X, Wei M, Cheng H, Yin J.",Exp Ther Med. 2017 May;13(5):2225-2234. doi: 10.3892/etm.2017.4315. Epub 2017 Apr 6.,Sun Y,Exp Ther Med,2017,10.3892/etm.2017.4315,n,,
25524860,Focal seizures versus epileptic spasms in children with focal cortical dysplasia and epilepsy onset in the first year,"Serino D, Freri E, Ragona F, D'Incerti L, Bernardi B, Di Ciommo V, Granata T, Vigevano F, Fusco L.",Epilepsy Res. 2015 Jan;109:203-9. doi: 10.1016/j.eplepsyres.2014.11.006. Epub 2014 Nov 26.,Serino D,Epilepsy Res,2015,10.1016/j.eplepsyres.2014.11.006,n,,
30588603,Localization yield and seizure outcome in patients undergoing bilateral SEEG exploration,"Steriade C, Martins W, Bulacio J, Morita-Sherman ME, Nair D, Gupta A, Bingaman W, Gonzalez-Martinez J, Najm I, Jehi L.",Epilepsia. 2019 Jan;60(1):107-120. doi: 10.1111/epi.14624. Epub 2018 Dec 26.,Steriade C,Epilepsia,2019,10.1111/epi.14624,n,,
16181772,Electro-clinical and imaging characteristics of focal cortical dysplasia: correlation with pathological subtypes,"Widdess-Walsh P, Kellinghaus C, Jeha L, Kotagal P, Prayson R, Bingaman W, Najm IM.",Epilepsy Res. 2005 Oct-Nov;67(1-2):25-33. doi: 10.1016/j.eplepsyres.2005.07.013. Epub 2005 Sep 21.,Widdess-Walsh P,Epilepsy Res,2005,10.1016/j.eplepsyres.2005.07.013,n,,
27885945,"Clinical, imaging, and immunohistochemical characteristics of focal cortical dysplasia Type II extratemporal epilepsies in children: analyses of an institutional case series","Knerlich-Lukoschus F, Connolly MB, Hendson G, Steinbok P, Dunham C.",J Neurosurg Pediatr. 2017 Feb;19(2):182-195. doi: 10.3171/2016.8.PEDS1686. Epub 2016 Nov 25.,Knerlich-Lukoschus F,J Neurosurg Pediatr,2017,10.3171/2016.8.PEDS1686,n,,
16411965,Surgical outcome and predictive factors in adult patients with intractable epilepsy and focal cortical dysplasia,"Siegel AM, Cascino GD, Meyer FB, Marsh WR, Scheithauer BW, Sharbrough FW.",Acta Neurol Scand. 2006 Feb;113(2):65-71. doi: 10.1111/j.1600-0404.2005.00548.x.,Siegel AM,Acta Neurol Scand,2006,10.1111/j.1600-0404.2005.00548.x,n,,
28491494,"The relationship between morphological lesion, magnetic source imaging, and intracranial stereo-electroencephalography in focal cortical dysplasia","Bouet R, Mauguière F, Daligault S, Isnard J, Guenot M, Bertrand O, Jung J.",Neuroimage Clin. 2017 Apr 20;15:71-79. doi: 10.1016/j.nicl.2017.04.018. eCollection 2017.,Bouet R,Neuroimage Clin,2017,10.1016/j.nicl.2017.04.018,n,,
30545836,MRI Abnormalities Predominate in the Bottom Part of the Sulcus with Type II Focal Cortical Dysplasia: A Quantitative Study,"Liu Z, Hu W, Sun Z, Wang X, Liu L, Shao X, Zhang K, Ma Y, Zhang J.",AJNR Am J Neuroradiol. 2019 Jan;40(1):184-190. doi: 10.3174/ajnr.A5919. Epub 2018 Dec 13.,Liu Z,AJNR Am J Neuroradiol,2019,10.3174/ajnr.A5919,n,,
27939253,Hippocampal sclerosis and associated focal cortical dysplasia-related epilepsy in neurofibromatosis type I,"Gales J, Prayson RA.",J Clin Neurosci. 2017 Mar;37:15-19. doi: 10.1016/j.jocn.2016.10.048. Epub 2016 Dec 9.,Gales J,J Clin Neurosci,2017,10.1016/j.jocn.2016.10.048,n,,
29541057,Small Lesion Size Is Associated with Sleep-Related Epilepsy in Focal Cortical Dysplasia Type II,"Jin B, Hu W, Ye L, Krishnan B, Aung T, Jones SE, Najm IM, Alexopoulos AV, Zhang K, Zhu J, Zhang J, Ding M, Chen Z, Wang S, Wang ZI.",Front Neurol. 2018 Feb 28;9:106. doi: 10.3389/fneur.2018.00106. eCollection 2018.,Jin B,Front Neurol,2018,10.3389/fneur.2018.00106,n,,
29106684,"Frontal Lobe Epilepsy Surgery in Childhood and Adolescence: Predictors of Long-Term Seizure Freedom, Overall Cognitive and Adaptive Functioning","Ramantani G, Kadish NE, Mayer H, Anastasopoulos C, Wagner K, Reuner G, Strobl K, Schubert-Bast S, Wiegand G, Brandt A, Korinthenberg R, Mader I, van Velthoven V, Zentner J, Schulze-Bonhage A, Bast T.",Neurosurgery. 2018 Jul 1;83(1):93-103. doi: 10.1093/neuros/nyx340.,Ramantani G,Neurosurgery,2018,10.1093/neuros/nyx340,n,,
12948622,"Focal cortical dysplasia and intractable epilepsy in adults: clinical, EEG, imaging, and surgical features","Bautista JF, Foldvary-Schaefer N, Bingaman WE, LÙders HO.",Epilepsy Res. 2003 Jun-Jul;55(1-2):131-6. doi: 10.1016/s0920-1211(03)00118-9.,Bautista JF,Epilepsy Res,2003,10.1016/s0920-1211(03)00118-9,n,,
30128277,Gray-matter-specific MR imaging improves the detection of epileptogenic zones in focal cortical dysplasia: A new sequence called fluid and white matter suppression (FLAWS),"Chen X, Qian T, Kober T, Zhang G, Ren Z, Yu T, Piao Y, Chen N, Li K.",Neuroimage Clin. 2018 Aug 11;20:388-397. doi: 10.1016/j.nicl.2018.08.010. eCollection 2018.,Chen X,Neuroimage Clin,2018,10.1016/j.nicl.2018.08.010,n,,
11879384,"Focal cortical dysplasia of Taylor's balloon cell type: a clinicopathological entity with characteristic neuroimaging and histopathological features, and favorable postsurgical outcome","Urbach H, Scheffler B, Heinrichsmeier T, von Oertzen J, Kral T, Wellmer J, Schramm J, Wiestler OD, BlÙmcke I.",Epilepsia. 2002 Jan;43(1):33-40. doi: 10.1046/j.1528-1157.2002.38201.x.,Urbach H,Epilepsia,2002,10.1046/j.1528-1157.2002.38201.x,n,,
23293926,Localizing value of ictal SPECT is comparable to MRI and EEG in children with focal cortical dysplasia,"Krsek P, Kudr M, Jahodova A, Komarek V, Maton B, Malone S, Miller I, Jayakar P, Resnick T, Duchowny M.",Epilepsia. 2013 Feb;54(2):351-8. doi: 10.1111/epi.12059. Epub 2013 Jan 7.,Krsek P,Epilepsia,2013,10.1111/epi.12059,n,,
20538428,Surgical outcome following resection of rolandic focal cortical dysplasia,"Sarkis RA, Jehi LE, Bingaman WE, Najm IM.",Epilepsy Res. 2010 Aug;90(3):240-7. doi: 10.1016/j.eplepsyres.2010.05.010. Epub 2010 Jun 9.,Sarkis RA,Epilepsy Res,2010,10.1016/j.eplepsyres.2010.05.010,n,,
30978689,Multimodal noninvasive evaluation in MRI-negative operculoinsular epilepsy,"Wang S, Tang Y, Aung T, Chen C, Katagiri M, Jones SE, Prayson RA, Krishnan B, Gonzalez-Martinez JA, Burgess RC, Najm IM, Alexopoulos AV, Wang S, Ding M, Wang ZI.",J Neurosurg. 2019 Apr 12:1-11. doi: 10.3171/2018.12.JNS182746. Online ahead of print.,Wang S,J Neurosurg,2019,10.3171/2018.12.JNS182746,n,,
25296550,Cognitive and epilepsy outcomes after epilepsy surgery caused by focal cortical dysplasia in children: early intervention maybe better,"Chen HH, Chen C, Hung SC, Liang SY, Lin SC, Hsu TR, Yeh TC, Yu HY, Lin CF, Hsu SP, Liang ML, Yang TF, Chu LS, Lin YY, Chang KP, Kwan SY, Ho DM, Wong TT, Shih YH.",Childs Nerv Syst. 2014 Nov;30(11):1885-95. doi: 10.1007/s00381-014-2463-y. Epub 2014 Oct 9.,Chen HH,Childs Nerv Syst,2014,10.1007/s00381-014-2463-y,n,,
30473064,"Long-Term Follow-Up in Children With Focal Cortical Dysplasia IIId for Early Brain Injuries, Including Neuropathological Findings","Yan L, Yue-Shan P, Yunlin L, Yongling L, Zhichao W, Yuandong H.",Pediatr Neurol. 2018 Nov;88:40-47. doi: 10.1016/j.pediatrneurol.2018.08.026. Epub 2018 Sep 6.,Yan L,Pediatr Neurol,2018,10.1016/j.pediatrneurol.2018.08.026,n,,
27114900,Computational analysis in epilepsy neuroimaging: A survey of features and methods,"Kini LG, Gee JC, Litt B.",Neuroimage Clin. 2016 Feb 23;11:515-529. doi: 10.1016/j.nicl.2016.02.013. eCollection 2016.,Kini LG,Neuroimage Clin,2016,10.1016/j.nicl.2016.02.013,n,,
25048307,Clinicopathological associations in temporal lobe epilepsy patients utilising the current ILAE focal cortical dysplasia classification,"Johnson AM, Sugo E, Barreto D, Cunningham AM, Hiew CC, Lawson JA, Somerville ER, Connolly AM, Bye AM.",Epilepsy Res. 2014 Oct;108(8):1345-51. doi: 10.1016/j.eplepsyres.2014.06.013. Epub 2014 Jul 7.,Johnson AM,Epilepsy Res,2014,10.1016/j.eplepsyres.2014.06.013,n,,
31491580,A Surgical Case of Complete Resection of the Focal Cortical and Subcortical Dysplasia in the Motor Cortex,"Farhat S, Darwish H, Nasreddine W, Salame J, Beydoun A.",World Neurosurg. 2019 Dec;132:93-98. doi: 10.1016/j.wneu.2019.08.181. Epub 2019 Sep 3.,Farhat S,World Neurosurg,2019,10.1016/j.wneu.2019.08.181,n,,
